,predicted
0,5.304383749379364
1,5.249638359386733
2,5.260825311902577
3,5.37908970621278
4,5.251272719578498
5,5.018296944915339
6,5.035301390007892
7,5.035327375108692
8,5.019413671930838
9,5.239331209410067
10,4.986112459419564
11,5.15292330168072
12,5.0897039726868885
13,5.127510967683213
14,5.112452308124058
15,5.144546045001167
16,5.06068920524947
17,5.099266460271629
18,5.05715685083892
19,5.226803749561373
20,4.857335171496477
21,5.17004467297744
22,5.142419030398031
23,5.180414215488906
24,5.230930473184209
25,4.861747378813174
26,5.165588515024229
27,5.10330758404212
28,5.122705795333773
29,5.0140612221917
30,5.153412264852759
31,5.094416349593357
32,5.102751962962447
33,5.34243692927709
34,5.23377989532937
35,5.268913590154434
36,5.379442372212431
37,5.327139756266239
38,5.213239380263489
39,5.373606821254099
40,5.207005400054168
41,5.118365444784385
42,5.367487196934386
43,5.5020602124022835
44,5.521601824850972
45,5.393798162654509
46,5.367270530303735
47,5.2972954717433485
48,5.186318892369504
49,5.323989420863846
50,5.121806214861322
51,5.427783784566575
52,5.332740495183576
53,5.223941757870769
54,5.551055627614424
55,5.145581219888901
56,5.1566071669767615
57,5.2212732586767885
58,5.173795475360503
59,5.103445433935146
60,5.422876095166349
61,5.47242903671173
62,5.437049035304927
63,5.372518265452958
64,5.315535131263647
65,5.32998924260891
66,5.3007655361293695
67,5.200437818071457
68,5.136926547226607
69,4.998637165119731
70,5.329464137135849
71,5.114138947019394
72,5.204103590025076
73,5.122046623259037
74,5.139156043276813
75,5.380064124952032
76,5.423989968967535
77,5.403392716377536
78,5.294067956700475
79,5.263483885005737
80,5.315112603103154
81,5.343868903913825
82,5.26098282104277
83,5.295509793946788
84,5.314209334289382
85,5.287108245092881
86,5.125125216506947
87,5.132147787299642
88,5.335273353782131
89,5.271555862279897
90,5.328529437531093
91,5.284557644815452
92,5.387019479600209
93,5.135414460879294
94,5.144134653982758
95,5.333018495160401
96,5.34955924163982
97,5.352156696602312
98,5.343346960983429
99,5.3113483246209015
100,5.270060600008527
101,5.305953315347994
102,5.263488241191038
103,5.421977085904805
104,5.23680723806141
105,5.199326733296218
106,5.185996004647171
107,5.305167751729128
108,5.206678034162151
109,5.3684255423892795
110,5.207726732536794
111,5.574514621636593
112,5.348257889216548
113,5.316638275484395
114,5.111524266380037
115,5.192112716286294
116,5.15381949214538
117,5.467043055886587
118,5.311791672682997
119,5.34724911580209
120,5.306909397208989
121,5.3349582232023325
122,5.326325445664452
123,5.069223755535034
124,5.120205477096164
125,4.856673602494822
126,5.113911163101539
127,5.1466980862580805
128,5.137926195848906
129,4.941049303888027
130,4.745120283326764
131,5.140961906307953
132,5.0076759490086875
133,4.975016606876319
134,5.08834822808364
135,5.094276611973124
136,5.193067646205297
137,4.961379499171828
138,4.884820364405403
139,5.14559117283744
140,5.030086410919347
141,5.014277859360982
142,4.994009937717013
143,5.182227032737593
144,5.054062766468852
145,4.9134438931724524
146,4.919004600241499
147,4.955527306621712
148,5.0502445631752755
149,4.891970275641209
150,5.178141891108853
151,5.041657967350895
152,5.209429190057194
153,5.0823041268032165
154,5.664586033994823
155,5.010084041933932
156,5.030702389127138
157,5.120263385455852
158,5.249715445000595
159,5.367010581645868
160,5.084671841702337
161,5.082007278912513
162,4.94834497674427
163,5.104840772492878
164,5.1721183769815955
165,5.011241682053439
166,5.230556682708052
167,5.327375057369787
168,5.276481974549325
169,5.276054410483155
170,5.341588644502521
171,5.210004149031661
172,5.310239881864553
173,5.294715927414771
174,5.267054568153353
175,5.2577781734935085
176,5.2585065962671305
177,5.255919858248025
178,5.199720810137295
179,5.248439704492373
180,5.2957227994186145
181,5.327922870159749
182,5.229293149904949
183,5.26541151819054
184,5.2604879822573105
185,5.241841833589496
186,5.204456364975322
187,5.30048451051489
188,5.283760119431316
189,5.314960162599294
190,5.2496867729733525
191,5.339558132512841
192,5.397915097625345
193,5.233859969909038
194,5.282950321249547
195,5.246765898188618
196,5.4195506210785185
197,5.407926148917572
198,5.2937646071688
199,5.2614345420337685
200,5.250261237925978
201,5.018279650863267
202,4.85391514273727
203,5.112962548021511
204,5.000236836467081
205,4.853479148369592
206,4.888564442775227
207,4.890962449250038
208,4.898634712120126
209,5.125870943245604
210,5.210125450226391
211,5.148272151604425
212,4.973051338659749
213,4.9147926622370575
214,5.006817229749604
215,4.963971210810135
216,4.977993718699903
217,4.946577832361939
218,4.90107282711131
219,4.873367967672176
220,4.964228352285014
221,5.030750817078662
222,4.89237222460014
223,5.271395738274171
224,5.354066053413232
225,5.2514787726688485
226,5.377007566662163
227,5.249329468664931
228,5.315235327956363
229,5.388212596528897
230,5.45685486306382
231,5.2189771174145
232,5.19508038046846
233,5.229595945580068
234,5.1840529707710346
235,5.057802085558809
236,5.02671555533241
237,5.095463417184144
238,5.034455760811181
239,5.214068612813311
240,5.054957642415894
241,5.193725224284089
242,5.198450998845719
243,5.386533888752519
244,4.98261073924231
245,5.29122895829337
246,5.011600001184846
247,5.194906772992018
248,5.179775216353027
249,5.245244218584802
250,5.233119663999384
251,5.113355601971305
252,5.168030385333401
253,5.135811897774052
254,5.023680565195531
255,5.161521531773903
256,5.158698308027684
257,5.154732410721766
258,5.108330404737997
259,5.247145970207694
260,5.250326010418284
261,5.117698414813481
262,5.109682210206073
263,5.14621730311195
264,5.1569719879724065
265,5.080577825704294
266,5.0834473905847775
267,5.180546486097681
268,5.044517227670942
269,5.205997937103601
270,5.325533201549468
271,5.1549250754946785
272,5.123428962149332
273,5.273604966509479
274,5.156784771720297
275,5.105029806415612
276,5.213545367149836
277,5.304611029561846
278,5.09202703372564
279,5.235671840983103
280,5.0275119371288115
281,5.0110691442002135
282,5.176954504140401
283,5.117078746255156
284,5.1447256534314585
285,5.118175519985828
286,5.125370947105427
287,5.20024005102159
288,5.238258964604675
289,5.188509301959525
290,5.249249751354679
291,5.098339704185663
292,5.113555779861677
293,5.13804042251705
